"selection_code";"description"
"CRU01RDMOT6";"Capacity of accommodation establishments by category in selected territorially divided DMO. Time granularity: Year. Territory types: DMO2"
"WGEN07KRT01";"Women and men – elections to regional councils . Time granularity: Year. Territory types: State, Region"
"WGEN07KRT02";"Women and men in the Region – elections to local councils . Time granularity: Year. Territory types: State, Region"
"WGEN02AT01";"Women and men – employment. Time granularity: Year. Territory types: Region, State"
"WGEN02AT02";"Women and men in the Region - employment. Time granularity: Year. Territory types: State, Region"
"CRU02LUZPOK1";"Use of beds and rooms - yearly data. Time granularity: Year. Territory types: State, Region"
"CRU02LUZPOK2";"Use of beds and rooms - quarterly data. Time granularity: Quarter. Territory types: State, Region"
"CRU02LUZPOK3";"Use of beds and rooms - monthly data. Time granularity: Month. Territory types: State, Region"
"WGEN02BT01";"Women and men – gross monthly earnings and median earnings. Time granularity: Year. Territory types: State, Region"
"WGEN02BT03";"Women and men – gross monthly earnings and median earnings by education. Time granularity: Year. Territory types: State, Region"
"WGEN02BT02";"Women and men in the Region – gross monthly earnings and median earnings. Time granularity: Year. Territory types: State, Region"
"STA09AT2";"Dwelings started and completed - Czech republic - monthly cumulation. Time granularity: Cumulative Month. Territory types: State"
"STA09AT3";"Dwelings started and completed - Czech republic -  quarter. Time granularity: Quarter. Territory types: State"
"STA09AT4";"Dwelings started and completed - Czech republic - quarters cumulation. Time granularity: Cumulative Quarter. Territory types: State"
"STA09AT1";"Dwelings started and completed - Czech republic - year. Time granularity: Year. Territory types: State"
"STA09BT3";"Dwelings started and completed by regions - monthly cumulation. Time granularity: Cumulative Month. Territory types: Region"
"STA09BT2";"Dwelings started and completed by regions - annualy. Time granularity: Year. Territory types: Region"
"WLES02T01";"Selected data on hunting. Time granularity: Year. Territory types: State, Region"
"WLES01KT02";" Selected data on forestry by Region. Time granularity: Year. Territory types: State, Region"
"WLES01T01";"Selected data on forestry. Time granularity: Year. Territory types: State, Region"
"CEN0401T02";" Price indices of real estate - quarterly. Time granularity: Quarter. Territory types: State, Region"
"CEN0401T01";" Price indices of real estate - yearly. Time granularity: Year. Territory types: State, Region"
"PRU09T1";"Sales from industrial activity: unadjusted data. Time granularity: Month. Territory types: State"
"PRU09T2";"Sales from industrial activity: adjusted data. Time granularity: Month. Territory types: State"
"CEN0403T01";"Price indices of real estate. Time granularity: Year. Territory types: State, Region"
"CEN0402T02";" Average purchase prices of real estate - yearly period. Time granularity: Year. Territory types: State, Region, District"
"CEN0402T01";" Average purchase prices of real estate - 3 year period. Time granularity: Three years. Territory types: State, Region, District"
"CEN0402T03";" Average purchase prices of real estate - size groups of municipalities of region. Time granularity: Year. Territory types: State, Region, District"
"CEN0402T03A";" Average purchase prices of real estate - size groups of municipalities of district. Time granularity: Three years. Territory types: State, Region, District"
"PRUMCENEMOT1";" Average prices of real estate - data MF ČR. Time granularity: Three years. Territory types: State, Region"
"PRUMCENEMOT2";" Average prices of real estate - territorial comparison. Time granularity: Three years. Territory types: State, Region"
"PRU07T1";"Manufacture of selected products (main aggregates). Time granularity: Year. Territory types: State"
"STAV501T1";" Construction work ""S"" - total. Time granularity: Year. Territory types: State"
"PRU01T1";"Industrial production index - unadjusted data. Time granularity: Month. Territory types: State"
"PRU01T2";"Industrial production index - adjusted data. Time granularity: Month. Territory types: State"
"PRU03T1";"Manufacture of selected products (main aggregates). Time granularity: Year. Territory types: State"
"SLD0100T2";"Obyvatelstvo podle pohlaví a věku v krajích. Time granularity: Census Year. Territory types: State, NUTS2, Region, District, Municipality, AD Prague, City part"
"SLD0100T1";"Tabulka 1. Time granularity: Census Year. Territory types: State, NUTS2, Region, District, Municipality, AD Prague, City part"
"SLD0100G1";"Graf 1. Time granularity: Census Year. Territory types: State, NUTS2, Region, District, Municipality, AD Prague, City part"
"SLD0100M1";"Mapa 1. Time granularity: Census Year. Territory types: State, NUTS2, Region, District, Municipality, AD Prague, City part"
"OBY01CRGENT01";"Analytic indicators of demographic development since 1920. Time granularity: Year. Territory types: State"
"OBY04BHVDKT01";"Life Expectancy - regions. Time granularity: Two years. Territory types: Region"
"SILC01CT1";"Persons at risk of income poverty by age. Time granularity: Year. Territory types: State"
"SZB01A";"Average monthly amount of pension (as at 31 December of the relevant year). Time granularity: Year. Territory types: District, State, Region"
"SZB01AB";"Average monthly amount of pension (as at 31 December of the relevant year)1 - Territorial comparison. Time granularity: Year. Territory types: State, District, Region"
"SILC01BT1";"Persons at risk of income poverty by sex. Time granularity: Year. Territory types: State"
"STAV112SZT1";"Construction work orders - by the end of period - annualy. Time granularity: Year. Territory types: State"
"STAV112SZT2";"Construction work orders - by the end of period - quarterly. Time granularity: Quarter. Territory types: State"
"CRU02ROBCET1";"Occupancy in collective accommodation establishments in municipalities by region - territorial comparison. Time granularity: Year. Territory types: Region, Municipality"
"CRU02ROBCET2";"Occupancy in collective accommodation establishments in municipalities by region - time series. Time granularity: Year. Territory types: Region, Municipality"
"CRU02ROBCET3";"Occupancy in collective accommodation establishments in selected municipality by category. Time granularity: Year. Territory types: Region, Municipality"
"CRU02ROBCET4";"Occupancy in accommodation establishments by category in selected administrative district of the Capital city of Praha. Time granularity: Year"
"CRU02ROBCET5";"Occupancy in accommodation establishments in selected administrative district of the Capital city of Praha - time series. Time granularity: Year"
"CRU02ROBCET6";"Occupancy in accommodation establishments by category in selected city part of the Capital city of Praha . Time granularity: Year. Territory types: City part"
"CRU02ROBCET7";"Occupancy in accommodation establishments in selected city part of the Capital city of Praha  - time series. Time granularity: Year. Territory types: City part"
"SILC01ET1";"Persons at risk of income poverty by type of household. Time granularity: Year. Territory types: State"
"SILC01DT1";"Persons at risk of income poverty by labour force status. Time granularity: Year. Territory types: State"
"FIN03LEASZAM";"Employees and wages in financial leasing companies . Time granularity: Year. Territory types: State"
"FIN03LEASAKT";"Assets of financial leasing companies (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03LEASFA";"Financial assets of financial leasing companies (CZK mil.) . Time granularity: Year. Territory types: State"
"FIN03LEASPAS";"Liabilities of financial leasing companies ( CZK mil.). Time granularity: Year. Territory types: State"
"FIN03LEASNAK";"Selected expenses of financial leasing companies (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03LEASVYN";"Selected revenues of financial leasing companies (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03LEASDHM";"Tangible fixed assets including land and mineral deposits of financial leasing companies (CZK mil.) . Time granularity: Year. Territory types: State"
"FIN03LEASDNM";"Intangible fixed assets of financial leasing companies (CZK mil.). Time granularity: Year. Territory types: State"
"SILC01AT1";"Persons at risk of income poverty . Time granularity: Year. Territory types: State"
"SLD034BT02";"Students by place of school and by regions. Time granularity: Census Year. Territory types: State, Region"
"SLD034CT01";"Employed by place of work and by regions. Time granularity: Census Year. Territory types: State, Region"
"SILC01FT1";"Persons at risk of income poverty by legal form of flat use. Time granularity: Year. Territory types: State"
"ZDR01T1";"Health care expenditure by health care financing schemes and health care functions (million CZK). Time granularity: Year. Territory types: State"
"ZDR02T1";"Health care expenditure by health care financing schemes and health care providers (million CZK). Time granularity: Year. Territory types: State"
"PRU10T1";"New industrial orders by selected CZ-NACE divisions: Data adjusted. Time granularity: Month. Territory types: State"
"PRU10T2";" New industrial orders by selected CZ-NACE divisions: unadjusted data. Time granularity: Month. Territory types: State"
"ZDR03T1";"Health care expenditure by health care providers and health care functions (million CZK). Time granularity: Year. Territory types: State"
"OBY02AHVDT01";"Total population as at 1. 1., 1. 7. and 31. 12. by sex. Time granularity: Year. Territory types: State, NUTS2, Region"
"WZEM02T01";"Animal production and yields. Time granularity: Year. Territory types: State, Region"
"WZEM02T02";"Čtvrtletní TOP. Time granularity: Quarter. Territory types: State, Region"
"STA08B1T1";"Building permits - (buildings) - Czech republic. Time granularity: Cumulative Month. Territory types: State"
"WOBY05A";"Marriages. Time granularity: Year. Territory types: State, Region"
"ZAM01T1";" Activity status of population aged 15 or more by Region - quarter. Time granularity: Quarter. Territory types: State, Region"
"ZAM01T2";" Activity status of population aged 15 or more by Region - year. Time granularity: Year. Territory types: State, Region"
"WOBY05B";"Divorces. Time granularity: Year. Territory types: State, Region"
"ZAM04T1";"Specific unemployment rates in the CR by highest educational attainment - quarter. Time granularity: Quarter. Territory types: State"
"ZAM04T3";"Specific unemployment rates in the CR by highest educational attainment - year. Time granularity: Year. Territory types: State"
"ZAM04T4";"Specific unemployment rates in the CR by age sourc - quarter. Time granularity: Quarter. Territory types: State"
"ZAM04T5";"Specific unemployment rates in the CR by age sourc - year. Time granularity: Year. Territory types: State"
"ZAM05T1";"Unemployment, the unemployed, economic activity for persons aged 15 to 64 in monthly data. Time granularity: Month. Territory types: State"
"WZEM05T01";" Consumption of fertilisers in the crop year (t). Time granularity: Fiscal Year. Territory types: State, Region"
"ZAM02T1";"Employed by status in employment - quarter. Time granularity: Quarter. Territory types: State, Region"
"ZAM02T4";"Employed by status in employment - year. Time granularity: Year. Territory types: State, Region"
"ZAM02T2";"Employed by classification of occupations - quarter. Time granularity: Quarter. Territory types: State, Region"
"ZAM02T5";"Employed by classification of occupations - year. Time granularity: Year. Territory types: State, Region"
"ZAM02T3";" Employed by CZ-NACE sector - quarter. Time granularity: Quarter. Territory types: State, Region"
"ZAM02T6";" Employed by CZ-NACE sector - year. Time granularity: Year. Territory types: State, Region"
"WOBY06";"Migration. Time granularity: Year. Territory types: State"
"ZAM03T1";"Unemployed - age group - quarter. Time granularity: Quarter. Territory types: State, Region"
"ZAM03T3";"Unemployed - age group - year. Time granularity: Year. Territory types: State, Region"
"ZAM03T2";"Unemployed - highest educational attainment - quarter. Time granularity: Quarter. Territory types: State, Region"
"ZAM03T4";"Unemployed - highest educational attainment - year. Time granularity: Year. Territory types: State, Region"
"WOBY03";"Live bierth. Time granularity: Year. Territory types: State, Region"
"STA08B2T2";"Building permits (buildings) - regions. Time granularity: Cumulative Month. Territory types: Region"
"PRU10AT1";"New industrial orders by selected CZ-NACE divisions - unadjusted data: month. Time granularity: Month. Territory types: State"
"PRU10AT2";"New industrial orders by selected CZ-NACE divisions - unadjusted data: quarter. Time granularity: Quarter. Territory types: State"
"PRU10AT3";"New industrial orders by selected CZ-NACE divisions - unadjusted data: year. Time granularity: Year. Territory types: State"
"PRU10AT4";"New industrial orders by selected CZ-NACE divisions - unadjusted data: cumulation since the beginning of the year. Time granularity: Cumulative Month. Territory types: State"
"PRU10AT5";"New industrial orders by selected CZ-NACE divisions - unadjusted data: cumulation of the last 12 months. Time granularity: Moving 12 Months. Territory types: State"
"WOBY06K";"Migration by Region. Time granularity: Year. Territory types: State, Region"
"VZOPPMT1";"Cross border movements of goods - main indicators. Time granularity: Month. Territory types: State"
"VZOPPMT2";"Cross border movements of goods by particular countries. Time granularity: Month. Territory types: State"
"VZOPPMT3";"Cross border movements of goods by particular countries - time series. Time granularity: Month. Territory types: State"
"MZDKQT1";"The number of employees and average gross monthly wages from a quarterly survey - time series. Time granularity: Cumulative Quarter. Territory types: State"
"MZDKQT2";"The number of employees and average gross monthly wages from a quarterly survey by CZ-NACE section. Time granularity: Cumulative Quarter. Territory types: State"
"MZDKQT3";"The number of employees and average gross monthly wages from a quarterly survey by institutional sector. Time granularity: Cumulative Quarter. Territory types: State"
"MZDKQT4";"The number of employees and average gross monthly wages from a quarterly survey by size of reporting unit. Time granularity: Cumulative Quarter. Territory types: State"
"MZDKQT5";"The number of employees and average gross monthly wages from a quarterly survey by CZ-NUTS. Time granularity: Cumulative Quarter. Territory types: State, NUTS2, Region"
"VZOPPQT1";"Cross border movements of goods - main indicators. Time granularity: Quarter. Territory types: State"
"VZOPPQT2";"Cross border movements of goods by particular countries. Time granularity: Quarter. Territory types: State"
"VZOPPQT3";"Cross border movements of goods by particular countries - time series. Time granularity: Quarter. Territory types: State"
"VZOPPRT1";"Cross border movements of goods - main indicators. Time granularity: Year. Territory types: State"
"VZOPPRT2";"Cross border movements of goods by particular countries. Time granularity: Year. Territory types: State"
"VZOPPRT4";"Cross border movements of goods by particular countries -time series. Time granularity: Year. Territory types: State"
"VZOPPRT3";"Cross border movements of goods by commodities. Time granularity: Year. Territory types: State"
"PRU10BT1";" New industrial orders by selected CZ-NACE divisions: Data adjusted for seasonal and calendar effects - month. Time granularity: Month. Territory types: State"
"PRU10BT2";" New industrial orders by selected CZ-NACE divisions: Data adjusted for seasonal and calendar effects - quarter. Time granularity: Quarter. Territory types: State"
"PRU10BT3";" New industrial orders by selected CZ-NACE divisions: Data adjusted for seasonal and calendar effects - year. Time granularity: Year. Territory types: State"
"STA08A1T1";"Building permits - Czech republic. Time granularity: Cumulative Month. Territory types: State"
"STA08A2T2";" Building permits - regions. Time granularity: Cumulative Month. Territory types: Region"
"PRU01BT1";"Industrial production index: CZ-NACE divisions data adjusted for calendar effects : month. Time granularity: Month. Territory types: State"
"PRU01BT2";"Industrial production index: CZ-NACE divisions data adjusted for calendar effects : quarter. Time granularity: Quarter. Territory types: State"
"PRU01BT3";"Industrial production index: CZ-NACE divisions data adjusted for calendar effects : year. Time granularity: Year. Territory types: State"
"PRU01BT4";"Industrial production index: CZ-NACE divisions data adjusted for calendar effects : cumulation since the beginning of the year. Time granularity: Cumulative Month. Territory types: State"
"PRU01CT1";"Industrial production index: CZ-NACE divisions data adjusted for seasonal effects : month. Time granularity: Month. Territory types: State"
"PRU01CT2";"Industrial production index: CZ-NACE divisions data adjusted for seasonal effects : quarter. Time granularity: Quarter. Territory types: State"
"PRU01AT1";"Industrial production index - unadjusted data : month. Time granularity: Month. Territory types: State"
"PRU01AT2";"Industrial production index - unadjusted data : quarter. Time granularity: Quarter. Territory types: State"
"PRU01AT3";"Industrial production index - unadjusted data : year. Time granularity: Year. Territory types: State"
"PRU01AT4";"Industrial production index - unadjusted data : cumulation since the beginning of the year. Time granularity: Cumulative Month. Territory types: State"
"PRU01AT5";"Industrial production index - unadjusted data : cumulation of the last 12 months. Time granularity: Moving 12 Months. Territory types: State"
"NUC06QT01";"National accounts – GDP main aggregates high-value dataset (quarterly). Time granularity: Quarter. Territory types: State"
"NUC06QT02";"Gross value added by sphere (NACE Section). Time granularity: Quarter. Territory types: State"
"WGEN03CT01";"Women and men – usage of the Internet. Time granularity: Year. Territory types: State, Region"
"WGEN03CT02";"Women and men – usage of the Internet by age groups. Time granularity: Year. Territory types: State, Region"
"NUC06RT01";"National accounts – GDP main aggregates high-value dataset (yearly). Time granularity: Year. Territory types: State, NUTS2, Region"
"NUC06RT02";"Gross fixed capital formation by sphere (NACE Section). Time granularity: Year. Territory types: State, NUTS2, Region"
"PRU01DT1";"Industrial production index: Seasonally and calendar adjusted data - month. Time granularity: Month. Territory types: State"
"PRU01DT2";"Industrial production index: Seasonally and calendar adjusted data - quarter. Time granularity: Quarter. Territory types: State"
"WUNP1T1";"Labour costs. Time granularity: Year. Territory types: State, Region"
"WUNP2T1";"Hourly labour costs. Time granularity: Year. Territory types: State, Region"
"PRUM201T1";"Production of selected goods and services in the structure published by Eurostat (PRODCOM data). Time granularity: Year. Territory types: State"
"WOBY04C";"Deaths by cause of death. Time granularity: Year. Territory types: State, Region"
"WADMUPCRVNTEST";"Registered unemployment as at 31. December. Time granularity: Year. Territory types: State, Region"
"WOBY04A";"Number of deaths by age. Time granularity: Year. Territory types: State, Region"
"WOBY04B";"Life Expectancy. Time granularity: Year. Territory types: State"
